文件名称,cplex求解结果,文献最优解,文献最优解状态,cplexGap,cplex耗时,cplex状态,
OR30x100-0.50_8.dat,42719,42719,Optimal,0.00777926954882989,100,Feasible,
OR30x100-0.50_9.dat,42230,42230,Optimal,0.0,92,Optimal,
OR30x100-0.50_10.dat,41700,41700,Optimal,0.006407058027831883,100,Feasible,
OR30x100-0.75_1.dat,57494,57494,Optimal,0.0027512004245675973,100,Feasible,
OR30x100-0.75_2.dat,60027,60027,Optimal,0.004332371090016751,100,Feasible,
OR30x100-0.75_3.dat,58052,58052,Optimal,0.004341481247516356,100,Feasible,
OR30x100-0.75_4.dat,60776,60776,Optimal,0.0025405542059339812,100,Feasible,
OR30x100-0.75_5.dat,58884,58884,Optimal,0.0031592039614323367,100,Feasible,
OR30x100-0.75_6.dat,60011,60011,Optimal,0.0030954451233207855,100,Feasible,
OR30x100-0.75_7.dat,58132,58132,Optimal,0.002793312995027714,100,Feasible,
OR30x100-0.75_8.dat,59064,59064,Optimal,0.002397852212932961,100,Feasible,
OR30x100-0.75_9.dat,58975,58975,Optimal,0.0036146485123502194,100,Feasible,
OR30x100-0.75_10.dat,60603,60603,Optimal,0.004055445962771368,100,Feasible,
OR30x250-0.25_1.dat,56737,56842,Feasible,0.009657757705508056,100,Feasible,
OR30x250-0.25_2.dat,58300,58520,Feasible,0.011196799605612952,100,Feasible,
OR30x250-0.25_3.dat,56493,56614,Feasible,0.010116002322125695,100,Feasible,
OR30x250-0.25_4.dat,56930,56930,Feasible,0.008763680507218596,100,Feasible,
OR30x250-0.25_5.dat,56629,56629,Feasible,0.009011572374449548,100,Feasible,
OR30x250-0.25_6.dat,57146,57205,Feasible,0.009992791139377821,100,Feasible,
OR30x250-0.25_7.dat,56240,56357,Feasible,0.010788135091780263,100,Feasible,
OR30x250-0.25_8.dat,56457,56457,Feasible,0.008870369032274813,100,Feasible,
OR30x250-0.25_9.dat,57335,57474,Feasible,0.011419676007271016,100,Feasible,
OR30x250-0.25_10.dat,56447,56447,Feasible,0.008241742293715161,100,Feasible,
OR30x250-0.50_1.dat,107726,107770,Feasible,0.003945118129484794,100,Feasible,
OR30x250-0.50_2.dat,108335,108392,Feasible,0.0043070441658771205,100,Feasible,
OR30x250-0.50_3.dat,106409,106442,Feasible,0.0037390892481245818,100,Feasible,
OR30x250-0.50_4.dat,106812,106876,Feasible,0.00466508330209103,100,Feasible,
OR30x250-0.50_5.dat,107341,107414,Feasible,0.004797676028302584,100,Feasible,
OR30x250-0.50_6.dat,107167,107271,Feasible,0.004624065067902838,100,Feasible,
OR30x250-0.50_7.dat,106305,106372,Feasible,0.0043189143879290666,100,Feasible,
OR30x250-0.50_8.dat,103987,104032,Feasible,0.004528833653143187,100,Feasible,
OR30x250-0.50_9.dat,106758,106856,Feasible,0.004781884295910735,100,Feasible,
OR30x250-0.50_10.dat,105723,105780,Feasible,0.004631221143262074,100,Feasible,
OR30x250-0.75_1.dat,150070,150163,Optimal,0.0027561523168901218,100,Feasible,
OR30x250-0.75_2.dat,149907,149958,Optimal,0.002360172167007509,100,Feasible,
OR30x250-0.75_3.dat,152934,153007,Optimal,0.0026410470587000523,100,Feasible,
OR30x250-0.75_4.dat,153166,153234,Optimal,0.002618206961303087,100,Feasible,
OR30x250-0.75_5.dat,150287,150287,Optimal,0.0019556213758773473,100,Feasible,
OR30x250-0.75_6.dat,148544,148574,Feasible,0.002361811282806378,100,Feasible,
OR30x250-0.75_7.dat,147430,147477,Optimal,0.0026026865004083453,100,Feasible,
OR30x250-0.75_8.dat,152877,152912,Optimal,0.0022870438974358477,100,Feasible,
OR30x250-0.75_9.dat,149554,149570,Feasible,0.002510362363564264,100,Feasible,
