文件名称,算法名称,修复算子,文献最优解,文献最优解状态,算法最优解,gap,迭代次数,耗时,第k次实验
OR10x500-0.75_10.dat,BFA,RO1,307089,Optimal,306189,0.002930746,5000,265,1
OR10x500-0.75_10.dat,BFA,RO1,307089,Optimal,306753,0.001094145,5000,278,6
OR10x500-0.75_10.dat,BFA,RO1,307089,Optimal,306411,0.002207829,5000,280,0
OR10x500-0.75_10.dat,BFA,RO1,307089,Optimal,306607,0.001569578,5000,285,4
OR10x500-0.75_10.dat,BFA,RO1,307089,Optimal,306421,0.002175265,5000,287,5
OR10x500-0.75_10.dat,BFA,RO1,307089,Optimal,306412,0.002204573,5000,289,3
OR10x500-0.75_10.dat,BFA,RO1,307089,Optimal,306435,0.002129676,5000,289,7
OR10x500-0.75_10.dat,BFA,RO1,307089,Optimal,306638,0.00146863,5000,303,2
OR10x500-0.75_10.dat,BFA,RO4,307089,Optimal,306388,0.002282726,5000,164,3
OR10x500-0.75_10.dat,BFA,RO4,307089,Optimal,306539,0.001791012,5000,169,7
OR10x500-0.75_10.dat,BFA,RO4,307089,Optimal,306523,0.001843114,5000,171,2
OR10x500-0.75_10.dat,BFA,RO4,307089,Optimal,306502,0.001911498,5000,176,6
OR10x500-0.75_10.dat,BFA,RO4,307089,Optimal,306440,0.002113394,5000,179,4
OR10x500-0.75_10.dat,BFA,RO4,307089,Optimal,306489,0.001953831,5000,185,0
OR10x500-0.75_10.dat,BFA,RO4,307089,Optimal,306557,0.001732397,5000,186,5
OR10x500-0.75_10.dat,BFA,RO4,307089,Optimal,306358,0.002380417,5000,188,1
OR30x100-0.25_10.dat,BFA,RO2,20983,Optimal,20831,0.007243959,1000,2,7
OR30x100-0.25_10.dat,BFA,RO2,20983,Optimal,20907,0.00362198,1000,3,2
OR30x100-0.25_10.dat,BFA,RO2,20983,Optimal,20867,0.005528285,1000,3,0
OR30x100-0.25_10.dat,BFA,RO2,20983,Optimal,20831,0.007243959,1000,3,5
OR30x100-0.25_10.dat,BFA,RO2,20983,Optimal,20867,0.005528285,1000,3,1
OR30x100-0.25_10.dat,BFA,RO2,20983,Optimal,20907,0.00362198,1000,4,4
